Age,Account_balance,Personal_loan_ind,Home_loan_ind,Prime_Customer_ind,Overall_Satisfaction
29,85964,1,1,1,Satisfied
35,73748,0,0,1,Dis Satisfied
33,23094,0,0,0,Dis Satisfied
39,5075,0,0,1,Satisfied
42,6056,0,1,1,Satisfied
57,9931,1,0,1,Satisfied
37,14990,0,0,0,Dis Satisfied
38,37976,0,0,0,Dis Satisfied
39,36054,1,1,0,Dis Satisfied
48,49763,1,0,1,Dis Satisfied
27,80133,1,1,1,Satisfied
45,85472,0,0,1,Satisfied
66,27933,1,0,1,Dis Satisfied
44,21986,0,0,0,Dis Satisfied
61,21980,1,1,0,Dis Satisfied
40,44267,1,0,1,Satisfied
36,87291,1,0,1,Satisfied
23,57247,0,0,1,Satisfied
47,36069,1,0,0,Dis Satisfied
31,65875,1,0,1,Satisfied
34,84300,0,1,1,Satisfied
34,38971,1,1,1,Satisfied
34,11077,1,1,0,Dis Satisfied
48,24949,1,1,1,Dis Satisfied
43,81522,0,0,1,Satisfied
45,57370,0,1,1,Satisfied
72,7926,1,0,0,Dis Satisfied
52,8050,1,1,1,Dis Satisfied
44,27943,0,0,1,Dis Satisfied
54,33108,0,1,0,Dis Satisfied
67,37950,1,0,0,Dis Satisfied
55,33061,0,1,1,Dis Satisfied
44,70443,0,0,1,Satisfied
20,73051,1,1,1,Satisfied
38,80043,1,0,1,Satisfied
63,18041,1,0,1,Dis Satisfied
44,95083,0,1,1,Satisfied
47,6976,0,0,1,Dis Satisfied
67,30953,1,1,0,Dis Satisfied
38,28002,0,1,0,Dis Satisfied
33,7956,0,1,1,Dis Satisfied
24,32969,1,1,1,Satisfied
40,72182,0,0,1,Satisfied
30,47576,1,0,1,Satisfied
57,34029,0,1,1,Dis Satisfied
47,18925,0,1,0,Dis Satisfied
36,6050,1,1,0,Dis Satisfied
41,73065,1,1,1,Satisfied
27,41604,1,0,1,Satisfied
38,28968,1,1,0,Dis Satisfied
69,16919,1,0,0,Dis Satisfied
71,9987,1,1,1,Dis Satisfied
37,26027,0,1,0,Dis Satisfied
67,22009,1,1,0,Dis Satisfied
46,79756,1,1,1,Satisfied
37,60265,1,1,1,Satisfied
43,107066,1,0,1,Satisfied
73,33012,0,1,1,Dis Satisfied
52,30013,1,1,0,Dis Satisfied
57,13936,0,1,1,Dis Satisfied
42,67059,0,1,1,Satisfied
34,67905,0,1,1,Satisfied
46,29056,0,0,1,Dis Satisfied
29,68497,0,0,0,Satisfied
37,92297,1,1,1,Satisfied
66,18922,1,1,0,Dis Satisfied
26,60901,1,1,0,Satisfied
26,62377,1,1,1,Satisfied
36,51663,1,0,0,Satisfied
43,73195,0,0,0,Satisfied
67,19950,1,0,0,Dis Satisfied
36,16107,1,1,1,Dis Satisfied
55,27084,1,1,0,Dis Satisfied
50,6936,0,0,0,Dis Satisfied
63,11104,1,0,1,Dis Satisfied
31,38054,1,1,0,Dis Satisfied
29,59033,1,0,1,Satisfied
31,16934,1,1,1,Dis Satisfied
41,16108,1,0,0,Dis Satisfied
56,38930,1,0,0,Dis Satisfied
50,33556,0,0,0,Dis Satisfied
57,19022,0,0,0,Dis Satisfied
55,37055,0,0,1,Dis Satisfied
44,64208,0,0,1,Satisfied
64,42285,1,0,1,Dis Satisfied
56,34110,1,0,1,Dis Satisfied
32,28966,0,1,1,Dis Satisfied
24,93149,0,0,1,Satisfied
42,96457,0,1,1,Satisfied
49,68555,1,0,1,Satisfied
63,30945,1,1,0,Dis Satisfied
45,33060,1,1,0,Dis Satisfied
61,36976,0,0,0,Dis Satisfied
26,105176,0,1,1,Satisfied
34,94878,1,1,1,Satisfied
42,11994,0,1,0,Dis Satisfied
32,82686,1,1,1,Satisfied
35,22931,1,1,0,Dis Satisfied
53,31069,1,1,1,Dis Satisfied
69,11094,1,1,0,Dis Satisfied
42,19925,0,0,1,Dis Satisfied
38,93465,0,0,1,Satisfied
58,28919,1,1,0,Dis Satisfied
21,33052,0,1,1,Satisfied
41,82161,1,1,1,Satisfied
46,72558,0,0,1,Satisfied
69,10076,0,0,1,Dis Satisfied
31,82502,0,1,0,Satisfied
34,87347,1,1,0,Satisfied
54,38093,0,0,1,Dis Satisfied
41,25061,0,1,1,Dis Satisfied
34,84340,0,1,1,Satisfied
45,63230,1,1,1,Satisfied
41,36114,0,0,1,Dis Satisfied
27,53953,0,1,1,Satisfied
37,95352,0,0,1,Satisfied
52,25096,0,0,0,Dis Satisfied
48,10911,0,0,1,Dis Satisfied
73,5054,0,0,0,Dis Satisfied
37,36941,0,1,0,Dis Satisfied
47,82453,1,0,1,Satisfied
29,64309,0,1,1,Satisfied
40,24970,1,0,1,Dis Satisfied
35,33004,0,1,1,Dis Satisfied
33,86228,1,0,0,Satisfied
40,80364,1,0,1,Satisfied
56,38081,0,1,0,Dis Satisfied
65,20044,0,0,0,Dis Satisfied
42,70292,0,0,1,Satisfied
41,53895,1,1,1,Satisfied
48,35968,0,0,0,Dis Satisfied
46,16074,1,0,1,Dis Satisfied
74,27969,0,0,1,Dis Satisfied
39,75659,1,0,0,Satisfied
40,38941,0,1,0,Dis Satisfied
37,90256,0,1,1,Satisfied
49,12957,1,0,0,Dis Satisfied
36,72959,1,0,1,Satisfied
45,61715,1,1,0,Satisfied
35,30941,0,1,0,Satisfied
29,79999,1,0,1,Satisfied
37,61693,1,0,1,Satisfied
56,13028,0,1,0,Dis Satisfied
66,35957,1,0,1,Dis Satisfied
26,94563,1,1,1,Satisfied
65,28978,1,1,0,Dis Satisfied
45,40433,0,1,1,Satisfied
29,30970,0,0,1,Satisfied
39,32945,0,0,1,Dis Satisfied
39,17984,1,0,0,Dis Satisfied
65,9976,1,1,0,Dis Satisfied
26,62868,0,0,1,Satisfied
39,64183,0,0,1,Satisfied
67,15969,0,0,0,Dis Satisfied
64,24973,1,0,1,Dis Satisfied
43,48078,0,0,0,Satisfied
38,23097,1,0,1,Dis Satisfied
44,18093,1,0,0,Dis Satisfied
36,12017,1,0,0,Dis Satisfied
45,81856,0,0,1,Satisfied
54,23921,1,0,0,Dis Satisfied
57,9085,0,0,0,Dis Satisfied
45,38009,0,0,0,Dis Satisfied
40,53070,1,1,0,Satisfied
39,48542,1,1,1,Satisfied
38,58154,0,1,1,Satisfied
51,8074,1,1,0,Dis Satisfied
62,27941,0,0,1,Dis Satisfied
44,61367,0,1,1,Satisfied
64,18911,1,0,0,Dis Satisfied
69,29078,1,0,0,Dis Satisfied
43,12096,1,0,1,Dis Satisfied
35,71747,0,0,1,Satisfied
34,55589,0,1,1,Satisfied
33,11925,0,0,0,Dis Satisfied
73,19976,0,0,0,Dis Satisfied
34,61513,0,0,1,Satisfied
43,73014,1,1,1,Satisfied
27,61836,1,1,1,Satisfied
23,54399,0,0,0,Satisfied
29,64757,0,1,0,Satisfied
48,29991,1,1,1,Satisfied
59,26050,1,0,1,Dis Satisfied
24,39049,0,1,1,Satisfied
40,37038,0,0,1,Satisfied
62,27026,0,1,0,Dis Satisfied
37,49491,0,1,1,Satisfied
71,29070,1,0,0,Dis Satisfied
72,26921,1,0,0,Dis Satisfied
22,94550,1,1,1,Satisfied
34,30984,0,0,1,Satisfied
39,23109,1,1,0,Dis Satisfied
48,12936,0,1,1,Dis Satisfied
41,51646,1,0,1,Satisfied
33,31948,0,1,1,Satisfied
36,21097,1,1,1,Dis Satisfied
59,38104,1,0,0,Dis Satisfied
26,29953,1,1,1,Satisfied
65,45006,0,0,0,Dis Satisfied
42,86906,1,1,1,Satisfied
25,68586,1,1,1,Satisfied
42,88546,1,1,1,Satisfied
57,36366,0,1,0,Dis Satisfied
36,101724,1,1,1,Satisfied
36,74601,0,0,0,Satisfied
45,78818,0,0,1,Satisfied
46,34697,0,0,1,Satisfied
54,18941,1,0,0,Dis Satisfied
48,31040,1,0,1,Satisfied
36,57795,0,0,1,Satisfied
70,12924,0,0,1,Dis Satisfied
32,104508,0,0,0,Satisfied
24,73922,0,0,1,Satisfied
23,39078,0,0,1,Satisfied
46,22021,0,1,0,Dis Satisfied
63,29950,0,1,0,Dis Satisfied
71,22094,1,0,0,Dis Satisfied
42,35977,0,0,1,Dis Satisfied
27,32067,1,0,0,Satisfied
37,29100,1,1,0,Dis Satisfied
42,37112,1,1,0,Dis Satisfied
65,37970,1,1,0,Dis Satisfied
35,53602,0,1,0,Satisfied
52,11969,1,0,0,Dis Satisfied
28,49577,1,0,1,Satisfied
20,80176,0,1,1,Satisfied
48,81156,1,0,1,Satisfied
28,45231,1,1,1,Satisfied
72,8003,0,1,0,Dis Satisfied
45,88116,1,1,1,Satisfied
46,36964,1,0,0,Satisfied
41,104094,0,0,1,Satisfied
51,20030,0,1,0,Dis Satisfied
48,19084,0,1,0,Dis Satisfied
41,93887,1,0,0,Satisfied
41,35081,0,1,0,Dis Satisfied
36,96718,0,1,0,Satisfied
33,30041,0,1,1,Satisfied
41,25974,0,0,0,Dis Satisfied
46,24055,0,1,1,Dis Satisfied
43,96817,1,0,1,Satisfied
36,20947,1,0,0,Dis Satisfied
51,12040,0,0,0,Dis Satisfied
40,69571,1,0,1,Satisfied
48,34891,0,1,1,Satisfied
40,28065,0,1,1,Dis Satisfied
44,88317,0,0,1,Satisfied
32,36663,0,0,1,Satisfied
37,5971,1,0,1,Dis Satisfied
36,96851,1,1,1,Satisfied
64,15023,1,1,0,Dis Satisfied
23,69374,0,0,1,Satisfied
20,97149,1,0,0,Satisfied
34,20101,0,1,0,Dis Satisfied
38,18971,1,1,0,Dis Satisfied
62,28933,0,0,0,Dis Satisfied
59,24923,0,1,0,Dis Satisfied
54,33069,0,1,0,Dis Satisfied
32,26962,1,0,0,Dis Satisfied
68,35594,0,1,0,Dis Satisfied
22,37107,1,0,1,Satisfied
35,51280,0,1,1,Satisfied
34,59150,1,0,1,Satisfied
70,35600,0,1,0,Dis Satisfied
71,10963,1,0,0,Dis Satisfied
59,10026,1,1,0,Dis Satisfied
23,63962,1,0,1,Satisfied
39,96378,1,0,1,Satisfied
21,40728,0,0,1,Satisfied
47,60296,0,1,1,Satisfied
45,34985,1,0,1,Dis Satisfied
48,90618,0,1,0,Satisfied
26,46308,1,1,1,Satisfied
42,22936,0,1,1,Dis Satisfied
26,54233,1,1,1,Satisfied
65,22995,1,1,1,Dis Satisfied
57,6051,0,0,1,Dis Satisfied
48,78694,1,1,1,Satisfied
20,73839,0,0,1,Satisfied
30,89919,1,0,1,Satisfied
38,62802,1,1,0,Satisfied
57,31973,0,1,0,Dis Satisfied
44,85568,1,1,1,Satisfied
43,92488,1,1,1,Satisfied
40,45035,0,1,1,Satisfied
63,4947,0,1,0,Dis Satisfied
22,85824,1,1,1,Satisfied
41,28960,0,1,1,Dis Satisfied
34,57664,0,1,0,Satisfied
58,33941,0,1,1,Dis Satisfied
40,22943,0,0,0,Dis Satisfied
31,61878,1,1,1,Satisfied
41,9090,1,0,0,Dis Satisfied
26,56272,0,1,1,Satisfied
61,6991,1,1,1,Dis Satisfied
20,85095,1,1,1,Satisfied
49,22023,0,0,1,Dis Satisfied
37,84542,1,1,1,Satisfied
69,33997,0,0,0,Dis Satisfied
54,11952,1,0,1,Dis Satisfied
47,61043,1,1,0,Satisfied
22,52654,1,0,1,Satisfied
47,48711,1,1,0,Satisfied
36,95963,1,0,1,Satisfied
71,12954,1,0,0,Dis Satisfied
45,7952,1,0,1,Dis Satisfied
23,70191,0,1,1,Satisfied
63,15105,0,0,0,Dis Satisfied
40,77164,1,0,0,Satisfied
26,51330,1,0,1,Satisfied
34,14909,0,1,0,Dis Satisfied
31,36083,1,0,1,Satisfied
28,46519,1,0,1,Satisfied
28,94391,1,1,1,Satisfied
43,37955,1,0,0,Dis Satisfied
48,8090,0,0,0,Dis Satisfied
50,37063,1,1,0,Dis Satisfied
41,39337,1,0,1,Satisfied
40,8992,0,1,1,Dis Satisfied
46,72328,0,1,1,Satisfied
33,35976,0,1,0,Satisfied
67,30052,1,0,1,Dis Satisfied
25,73599,0,0,1,Satisfied
30,54480,1,0,0,Satisfied
69,18954,1,0,1,Dis Satisfied
45,36990,0,0,1,Satisfied
36,11916,0,0,0,Dis Satisfied
68,33056,0,1,0,Dis Satisfied
61,15920,1,1,0,Dis Satisfied
41,90210,0,0,1,Satisfied
39,31945,1,1,1,Satisfied
36,53094,1,1,0,Satisfied
69,6029,0,1,0,Dis Satisfied
70,23971,1,1,1,Dis Satisfied
33,16107,1,0,0,Dis Satisfied
41,11070,1,0,1,Dis Satisfied
26,33106,1,1,1,Satisfied
25,72529,1,1,0,Satisfied
71,12999,1,0,0,Dis Satisfied
39,13038,0,0,0,Dis Satisfied
62,9913,0,0,1,Dis Satisfied
33,86909,0,0,0,Satisfied
47,26029,1,1,0,Dis Satisfied
45,19970,0,1,1,Dis Satisfied
20,84830,0,1,1,Satisfied
48,49995,0,0,1,Satisfied
48,32961,1,1,0,Dis Satisfied
72,27094,0,0,0,Dis Satisfied
68,15094,1,1,0,Dis Satisfied
