area_sqft,num_rooms,num_floors,age,near_main_road,has_parking,price
2727,3,3,18,1,0,1592472.5908249235
597,1,2,12,1,1,635374.5222163924
2330,1,2,2,0,0,1065001.2223795655
2591,2,2,47,1,1,1326179.260997648
1008,8,4,33,1,1,2906098.460985687
1547,6,3,26,1,1,2105516.7600121596
586,6,2,17,1,1,1595203.6947545398
2911,1,1,2,0,1,1409318.5494921983
2194,2,3,36,0,1,1303927.6928722884
1059,5,3,2,0,1,1435357.1440364763
2355,3,4,37,0,1,1477747.6717104637
2850,2,2,35,0,1,1464663.804606572
1769,9,2,16,1,1,3534450.1149516003
2386,7,4,42,0,1,2555768.003611427
1934,1,2,25,1,1,971082.9775861896
546,1,4,46,0,1,459487.16631424485
2134,3,1,17,0,1,1470333.395273951
2243,6,4,20,1,1,2442428.457488498
888,2,4,24,1,1,722887.9657810478
2359,8,4,45,0,1,3332757.317038674
2063,4,2,35,0,1,1526010.3458826821
2998,8,3,32,0,0,3322094.5434903065
2785,7,3,30,0,1,2870480.1418027193
1040,2,2,7,1,0,634589.6809693653
2202,9,3,33,0,1,3558922.236713121
2920,5,4,42,1,1,2291832.4229938
2369,6,1,39,0,0,2181167.8798228134
2598,2,1,47,1,0,1301110.6536317745
1838,3,1,19,1,0,1324497.4612988636
2034,8,2,36,0,0,2926045.247221742
662,5,3,43,0,1,1177589.4858094836
2187,1,3,42,1,0,1116677.18771247
2591,9,3,25,0,0,3661569.0436567375
2793,1,3,47,0,0,1373314.6788258685
1023,9,2,24,1,0,3060379.604537377
1416,6,3,28,0,1,1964233.4803828667
1280,7,4,23,0,1,2089622.3495467552
2449,1,2,10,0,0,1314511.4996025094
1727,1,4,6,0,0,1014829.7851019122
2701,5,3,5,0,0,2188638.719603369
852,2,1,48,1,0,526812.1111869393
1583,5,2,23,0,0,1472096.626857568
2456,5,2,49,0,1,1972356.7427207774
2082,6,3,38,1,1,2059465.2832063315
2655,9,4,9,1,1,3766974.0504036266
1554,6,4,45,0,0,1811990.0578754372
803,1,3,28,0,0,639677.3883146998
2599,5,4,40,1,0,2123341.6929692263
2501,2,3,9,1,1,1436902.4227656613
2096,8,4,4,1,1,2931945.6548697515
1027,7,1,45,0,0,1833182.200049423
986,6,4,35,1,0,1829323.8938025874
2048,2,1,12,0,1,1310269.2685819124
1843,3,2,24,1,0,1169555.2730546657
1845,9,2,10,1,1,3519403.084351779
503,9,2,3,1,1,2948934.621273945
653,7,4,32,0,0,1818010.2773756392
2957,2,4,15,1,1,1637166.9356517284
1896,7,1,49,1,0,2443635.8249104186
498,1,2,38,1,0,425091.2231983233
2600,9,2,40,1,0,3869539.257328204
2284,9,2,46,0,1,3365341.49542679
2319,6,3,39,1,1,2305660.135679628
1277,1,4,43,1,1,747197.8508900908
737,8,4,32,0,1,2494025.721495114
1356,6,1,15,1,1,1722341.9248527987
2104,9,4,13,1,0,3758317.602694858
560,9,4,14,1,1,3152367.9666774543
2003,7,2,42,0,0,2334097.4529452967
797,4,4,35,1,0,1086480.6539743359
1700,1,2,35,0,0,824009.6908988733
1215,3,1,39,0,0,969539.7821082952
1927,6,4,31,0,0,1980648.503601313
2319,1,3,21,0,0,1019078.3003219517
1815,4,2,46,1,1,1410767.1284418497
1558,8,3,1,0,1,2636585.4934326904
1618,8,2,8,1,0,2738141.074278355
800,6,4,43,0,0,1375992.473267673
1039,6,2,27,0,0,1710214.726450675
859,3,2,45,0,1,715401.0157866175
1354,7,3,42,0,0,2073739.2408619171
869,8,1,8,1,1,2340883.8549134936
1445,2,1,39,1,0,1107130.2737080455
2093,5,3,33,0,0,1789756.0957393409
2485,6,2,0,0,0,2263937.3451210167
2677,1,3,42,0,0,1389578.8407952357
962,5,1,26,0,1,1320096.5301986306
2885,3,1,9,1,1,1869636.3878391501
2199,3,1,44,0,0,1330300.0200585574
2474,6,2,16,0,0,2183405.9507255256
625,1,1,2,0,1,591505.701794995
1197,5,4,15,0,0,1408225.479454819
2731,5,3,17,0,0,2041252.3553956829
1359,5,2,25,1,0,1502166.3768688613
1904,3,1,15,1,0,1178395.8134381555
852,6,1,17,1,1,1627966.6893884288
1215,1,2,47,0,1,709734.8489104683
1058,1,1,8,0,1,455429.84266731294
946,2,2,12,0,0,490066.09851568646
1615,4,2,43,0,1,1378616.5913071253
416,9,1,26,1,1,2782717.1000889647
1643,8,2,11,0,1,2778017.241742654
2605,2,2,29,1,1,1521028.6786390003
2924,1,3,31,0,1,1450598.8146701397
1469,4,1,4,0,0,1097484.5115907157
2965,5,4,33,0,1,2236974.137194122
2546,2,1,11,1,0,1386551.5699359903
2168,6,2,23,1,0,2176949.436861447
1460,8,1,32,1,1,2940485.5633309567
2727,5,3,41,1,1,2211902.299902136
2944,4,3,1,1,1,2009882.139261857
701,7,3,48,0,0,1759067.8348090365
580,5,3,35,0,0,1269142.232883052
1006,8,1,49,0,0,2241369.365992537
1099,7,2,5,1,1,2137922.799809742
1392,5,2,40,0,1,1411743.5984886626
1539,8,3,31,1,1,2745428.304064826
590,1,3,33,1,0,423177.88588367944
2700,8,3,25,1,1,3275981.525667236
1380,3,1,32,0,0,1072519.6868647875
2406,1,2,1,1,0,1181856.6452412554
1584,9,4,13,0,1,3197380.528004392
527,6,2,36,0,0,1268336.7276977813
2465,8,4,14,1,0,3080279.412325732
2216,4,2,16,0,1,1679624.2413506045
2158,2,1,27,0,1,1247126.884812371
969,6,3,21,1,1,1705805.1371191493
1746,2,3,40,1,0,1005912.5698984537
2295,1,3,19,1,1,1222321.3327595505
1025,7,2,27,0,1,1896527.8537194538
2086,7,1,18,0,0,2376482.735848923
554,6,1,18,1,0,1550092.9014737986
2937,2,1,3,0,1,1611415.634678587
1809,5,2,45,0,0,1540080.597055167
1184,1,3,46,1,0,772312.0765512043
645,2,2,42,1,1,504649.20995425154
1900,5,1,6,1,0,1712947.8605880137
2105,5,4,12,0,1,1779106.5696603046
937,7,1,11,0,0,1865328.0800563612
2290,5,3,9,0,1,1950880.2340956086
2241,6,4,48,1,0,2435974.3269956945
1320,2,3,15,0,0,797289.6429324575
2855,5,2,14,0,0,2268262.8354754667
924,8,1,38,0,0,2302089.698431603
1929,1,2,29,1,0,1053723.1261992103
435,7,1,40,1,0,1840994.197333975
1084,8,1,32,0,0,2470291.8313653134
419,5,1,20,0,1,1035108.1306675086
2768,4,2,12,1,0,1856524.3170788344
2959,1,1,33,0,1,1375808.43979131
799,9,4,1,0,1,3031930.275757795
1371,2,3,18,0,1,764827.3893814399
2306,5,3,41,0,0,1699140.958132069
2918,7,4,26,1,0,3099322.8857414783
1566,8,2,6,1,0,2643217.334138833
1515,4,1,39,1,0,1289657.123776176
1233,1,3,0,0,1,580136.2526193087
2223,7,3,3,1,0,2601300.9898704346
2382,9,1,15,0,0,3522788.23637963
1253,1,4,26,0,0,711923.8041185702
450,1,1,6,0,0,93411.64965635072
974,7,3,48,1,1,2182439.069916978
1548,9,3,17,0,0,3302926.101080912
2597,5,3,0,0,0,1878313.7037768834
2761,4,4,0,0,1,1899556.4605894655
2752,6,3,11,1,1,2555601.0786851994
2115,9,1,43,1,1,3575638.2902139057
1081,2,2,10,1,0,790416.579132501
1237,5,1,5,0,0,1544587.3380284584
1477,4,2,22,1,0,1262238.6966271766
2891,3,1,6,0,1,1763358.4627876587
2711,5,1,42,0,0,1893534.6701133314
1995,7,2,35,0,0,2302213.6961314003
404,3,3,47,1,0,454762.7104431958
1526,3,3,45,1,0,1168249.4850583242
1619,6,1,49,0,1,2028376.920586535
1173,5,2,10,0,0,1459989.2680739353
1276,3,4,48,1,0,971861.5769053998
1391,1,3,43,1,0,645545.8087518616
446,2,1,46,1,0,409611.5898931048
668,3,4,0,0,1,670034.5801059835
769,4,1,41,0,0,822716.3259901769
1035,5,1,21,0,1,1308921.6348081536
1529,9,3,30,1,0,3188998.915923372
2093,4,4,13,1,1,1612655.2323065742
2082,9,1,9,0,0,3443328.1693237238
1056,5,1,44,1,0,1284698.5779990198
519,3,3,35,1,1,678384.7061051271
1230,7,4,32,0,0,2212216.6039232677
2210,8,4,40,0,1,2997787.056480676
1481,9,4,1,1,0,3353588.7031830144
2374,9,2,14,1,0,3815765.1474431246
1769,6,1,11,1,0,1974582.0200169226
1140,9,4,7,0,0,3115642.654283679
516,3,4,40,1,1,593319.7462524616
2253,2,4,37,1,0,1118135.8164255966
1550,5,1,17,1,1,1595202.5288996892
2331,7,1,12,0,1,2793841.3342017024
1412,7,2,26,1,0,2295097.128802236
2064,6,3,27,0,0,2159051.5296844738
1481,3,4,2,0,1,975219.3713995044
1033,6,2,43,1,0,1808600.3386603484
912,1,3,29,0,0,640060.2873902547
1519,3,4,24,0,0,968365.237069122
1541,2,4,36,1,0,982849.6847340007
959,4,1,26,0,0,939928.5299392812
887,8,2,14,0,1,2487631.8788418826
1296,3,4,37,1,1,1254910.7395446133
1612,6,1,49,0,0,1862880.7058184324
1103,1,3,10,0,1,591154.7686858492
1870,4,1,31,0,0,1559126.095425156
980,5,3,6,0,0,1059283.859408213
2694,5,3,16,1,0,2083928.4803433595
553,1,1,8,0,1,284449.7351310667
2079,9,2,38,1,0,3430283.0198419634
1396,5,4,29,1,1,1747553.6282377276
1643,9,1,49,1,1,3292253.802162839
1492,7,4,33,1,0,2322201.121868409
1408,5,2,2,1,0,1418433.9785773118
2541,9,3,42,0,0,3694789.0748762568
2173,5,1,45,1,0,1976489.2750544143
1357,9,1,46,0,0,3116374.713943985
852,5,2,28,1,1,1265529.7646947564
1627,1,2,3,1,1,1055964.0697927473
2665,7,3,23,0,1,2753732.677770455
2921,5,2,45,0,0,2126558.5771222375
2879,5,2,28,0,0,2093917.256534069
2788,6,4,17,0,0,2330956.9702231307
950,6,2,44,0,0,1426419.57120252
2035,7,4,36,0,1,2493486.874593329
1712,8,4,38,0,0,2674488.364381137
2157,1,1,16,0,0,908905.7488670652
756,3,2,38,1,0,753177.7492074618
2470,6,4,2,1,1,2599495.8934603403
2185,1,3,14,0,1,1071381.4621120167
2969,5,2,9,0,0,2370546.749549808
2181,5,1,49,0,1,1941925.6620598387
2889,9,4,25,0,1,3955193.423872357
2031,2,2,39,1,1,1241190.4518423728
1415,7,2,14,0,0,2157423.155931535
1748,9,2,35,0,0,3256346.0325163216
915,8,2,11,1,1,2623037.6057388554
735,1,3,27,1,1,515021.51020127017
2182,1,4,17,0,0,1265948.6908036997
2705,2,3,2,0,1,1526042.7439274637
896,1,3,25,0,0,462133.9524587492
1295,8,2,26,1,1,2707327.4918545457
2607,7,4,48,1,0,2854053.014957606
1251,6,4,15,1,1,1933328.1449135204
2087,2,2,45,0,1,1100108.5742675494
2331,9,2,19,0,0,3709333.2342810524
2827,1,3,26,0,0,1412336.8645733667
1968,1,2,18,0,1,1063379.6629607202
1356,2,2,3,1,1,896198.7843630117
2036,7,3,38,1,0,2422902.156739646
1691,1,2,41,1,0,970036.0934220359
1840,3,3,48,0,0,1022452.1568955935
1591,8,4,38,1,1,2679933.504389974
1466,7,4,36,1,0,2280541.821992556
684,8,2,32,1,1,2542169.9477663473
2844,6,3,0,0,1,2361297.4935460514
411,8,4,1,1,0,2233558.7347837007
2030,5,3,46,0,0,1708563.590954
2946,9,2,43,1,0,3720965.0965190367
1153,1,2,31,0,1,448104.7478056577
2482,7,4,45,0,0,2558711.190087441
489,6,4,24,1,0,1453264.879045307
1175,8,2,14,1,0,2600219.238716166
2025,2,1,37,0,1,998672.851360095
817,1,3,48,0,0,460810.2493517264
514,1,4,33,1,1,607668.3455427011
1016,2,4,13,0,1,718838.5239270229
1225,5,3,44,0,1,1140649.0540541396
2049,7,3,34,0,1,2475035.365702216
1916,9,3,41,0,1,3481249.3334992677
812,4,1,38,1,0,1054071.6017724911
1128,9,3,8,1,1,3137079.5821109354
1075,3,1,37,1,1,749476.6400293646
2292,6,3,46,0,1,2166379.9894513073
2904,9,1,30,0,0,3884525.291937597
2639,1,3,15,1,1,1435432.449242804
1522,4,1,40,1,0,1306018.0861416373
1971,5,3,33,1,0,1673747.8569392336
1377,6,1,22,1,0,1831008.0242496845
1408,8,1,17,0,0,2560062.074040529
2543,2,2,9,1,1,1471794.5311058077
2087,6,4,8,0,0,2324288.07216027
436,7,3,48,0,1,1603125.6931345635
1948,6,2,20,0,1,2039766.1246603185
2726,4,1,18,0,1,1848671.2266293652
2664,6,4,10,0,1,2379860.878411693
1272,4,2,6,0,0,1049002.1352282185
2221,9,2,3,1,0,3608649.7395214057
1696,1,1,17,0,0,940243.0611901379
2509,9,2,45,0,1,3773882.582981202
995,4,2,16,0,1,771868.4664557792
2303,3,2,28,1,0,1448493.5007263373
1128,5,2,27,1,1,1438356.306435142
1765,3,1,34,1,1,1060133.8245088672
796,1,1,27,1,0,450876.9632147342
1098,8,2,40,0,0,2425292.357739143
2624,9,3,3,1,0,4000833.9385291114
2035,6,3,11,1,0,2220574.988913016
795,2,2,26,1,0,758885.8908464086
2892,6,1,29,0,1,2536260.25575183
475,6,4,3,0,1,1553465.336708127
664,6,4,36,0,0,1458369.6457044755
2902,9,2,46,1,1,3790413.0159572447
2219,4,4,10,0,1,1616204.4237474867
1117,2,1,0,1,1,730691.7346011294
1250,8,3,48,0,1,2856263.254040936
1790,6,4,26,0,0,1949897.0934935855
543,1,2,35,1,1,138332.9742028382
1284,6,2,42,0,0,1685083.696201842
795,2,1,13,1,0,569190.5420409989
1892,4,4,22,1,0,1629968.6638936931
1567,2,1,25,0,0,1080612.3591826155
1462,4,3,14,1,1,1398459.2937763834
2556,7,3,2,0,1,2704795.7923541316
1465,8,2,30,0,0,2442496.8261829875
1609,3,2,43,1,1,1207715.2674192926
2845,1,4,23,0,0,1463806.3101560685
1033,1,4,49,1,0,745002.5333112698
1556,7,1,32,1,0,2425544.024301224
1638,1,3,26,1,1,1018240.4486386051
1132,3,3,24,0,0,978169.2438293261
634,5,2,38,1,1,1141433.461935551
1150,5,4,15,1,0,1445579.172815937
1353,4,4,5,1,0,1134063.036936116
2939,8,3,9,0,0,3296617.7735506264
1942,3,1,25,0,0,1193687.6255315442
1597,8,1,5,0,0,2716843.4388362565
2076,6,1,20,0,0,2131959.497238935
1591,4,3,41,1,0,1271163.297595804
2617,3,4,21,0,1,1547448.850762179
1816,2,4,46,1,0,1299509.9943853407
1617,6,1,8,0,0,1569892.9235675167
1940,1,2,39,0,0,1017898.1024948844
2476,8,3,46,0,1,3062800.759423266
1845,5,3,18,1,1,1670652.440169555
2786,7,4,37,1,1,2872779.222850207
1919,7,1,27,1,1,2615679.8501071366
1788,6,4,12,0,1,2212568.133675037
2256,5,4,22,1,0,1866971.824526633
1765,2,3,28,0,1,1298765.4733849184
899,3,2,11,1,1,1081790.77052719
2080,3,2,23,0,0,1195801.6919427083
910,5,4,23,0,0,1297919.8107009302
616,2,3,4,0,0,635605.8029511522
1724,1,4,44,1,0,815864.004636106
1555,4,3,8,1,1,1531939.5986055983
2227,3,3,45,1,0,1161044.2637309483
2210,3,3,32,0,1,1358815.9078110207
2892,6,3,34,0,1,2444176.584151781
1605,9,2,18,0,0,3247051.0815193965
2614,2,4,27,0,0,1428972.3846713835
490,5,4,0,1,0,1155436.1963841068
1113,2,2,48,0,1,653505.4893284969
2281,6,2,42,1,0,2251448.465466077
438,1,3,39,0,0,267584.5976313818
572,1,2,37,0,0,346250.8248547208
1052,9,2,27,1,0,2896458.002402093
1153,5,3,10,1,0,1380403.093286061
1643,9,1,20,0,1,3209103.8807326932
1481,8,2,19,0,0,2597283.772186762
2083,9,3,6,1,1,3572552.6788934763
2923,9,3,0,0,1,4023596.715016292
855,8,4,48,1,0,2366725.316906717
1228,3,2,20,1,1,862226.8531005541
1294,7,4,6,0,1,1940005.2142619153
1784,4,4,15,1,0,1748819.773967894
2358,8,4,10,1,1,3151000.1297992184
2834,7,1,21,0,0,2770388.0725635365
2396,9,4,13,1,1,3733164.7588209715
2795,8,2,37,0,0,3500971.1046509766
589,3,3,1,0,0,669057.4924903145
904,5,3,19,1,0,1335351.7249310417
1614,3,3,3,1,0,1234558.9734755312
1931,9,3,29,1,0,3525707.2801481895
1223,1,3,37,0,1,833444.766136778
1328,7,3,41,1,0,2299091.565400689
1333,9,4,27,1,1,3253075.773029069
1540,3,3,20,1,1,1035752.166572286
533,7,2,11,0,0,1848937.6845435589
2505,7,4,32,0,0,2535454.4614084726
1084,2,4,2,0,0,768858.000888326
2620,5,1,34,0,1,2046581.617993296
2252,7,4,18,1,0,2575322.496585655
1214,2,1,0,1,1,888190.815705475
1572,2,1,32,0,1,887126.2279546612
479,6,3,39,0,1,1475155.6451063254
602,2,1,29,1,1,600852.1825633901
1652,1,3,0,1,1,1073533.6041790058
2099,3,4,3,0,0,1309325.335543248
1650,1,2,43,1,1,980806.2565224508
2082,6,2,3,0,1,2237937.7009845045
1955,4,3,10,1,1,1427299.7119362727
2494,2,1,3,1,1,1537934.0670368345
1656,7,3,42,0,1,2381816.1428872864
1949,7,3,15,1,0,2723233.807933789
1566,8,4,16,0,0,2717552.54941241
1796,7,3,31,0,0,2480772.485953681
870,1,2,20,0,1,494145.9122717371
1435,3,4,40,1,0,1110449.128136233
1753,1,4,33,0,0,918526.4722058872
1367,2,1,39,0,0,984648.6156084472
757,1,4,0,1,1,586239.6476331864
1067,9,2,19,1,0,3129224.5546354186
772,7,1,22,0,1,1946606.3469885383
1431,9,2,7,1,0,3132445.939915576
1545,8,3,13,1,1,2761973.894985472
1771,2,1,38,0,0,838594.6459035162
489,1,4,46,1,1,415818.31437722367
939,5,4,8,1,0,1451275.9367332
1268,7,2,9,1,1,2269598.9071654403
440,2,2,49,1,1,648905.302367697
1139,4,1,39,1,1,1181705.5888020098
2346,7,2,8,0,1,2409585.4606534666
2949,9,3,45,0,1,3885491.076551963
1624,6,2,35,0,1,1845769.72175197
1328,7,4,20,1,1,2049241.8940455075
2436,8,3,40,1,0,3350060.911021502
2908,8,1,15,0,0,3180994.14748602
1324,9,1,22,0,1,3153841.013696938
1981,2,3,34,1,1,1019080.5399421246
789,7,4,28,1,1,2033803.5970226533
2017,2,1,18,1,0,1296883.484222683
655,7,1,30,1,1,1953000.5645039862
1108,9,2,30,1,1,3164187.6518876916
2238,4,4,16,1,0,1611562.6587168807
2344,5,2,25,0,1,1764422.3878394922
2897,5,3,16,1,1,2228281.208151024
409,2,4,10,1,1,391868.75295344496
1197,3,1,12,1,0,1061729.2158729795
1276,1,2,2,0,1,658789.6413454528
1428,3,3,17,1,0,962352.8915469197
1415,5,4,45,1,0,1602172.4156420159
2224,9,1,36,1,1,3592177.4873049073
773,1,2,28,1,0,496210.5201601162
2593,6,3,27,1,0,2318140.277252883
623,2,1,25,0,1,642281.3678399413
1662,6,4,34,0,0,1981851.4085048472
2624,6,3,25,0,0,2524169.779526168
2202,1,1,34,0,1,1133076.0770183138
1252,5,3,34,1,0,1553005.6925237011
462,2,2,28,0,0,380499.6530517113
1640,1,3,4,1,1,1042544.5382498836
1088,9,1,28,0,1,3004772.0892389766
1884,6,1,24,0,1,2140468.3255232424
2033,1,4,31,1,1,1171390.6730532018
2552,9,4,18,1,0,3623228.339081584
910,9,4,37,1,1,2997798.198624387
784,7,3,24,1,1,2196320.5246406794
804,9,2,30,1,0,2790397.638135891
917,1,4,24,0,0,415607.93940891244
875,3,1,9,0,0,706849.2385649198
2400,8,3,36,1,0,3168465.7035947866
2068,3,3,20,0,0,1197258.840213394
2293,8,3,7,0,1,3148887.218920831
